Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
267,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
268,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
269,256,,,,,,
270,256,,,,,,
270,256,,,,,,
270,256,,,,,,
270,256,,,,,,
270,256,,,,,,
270,256,,,,,,
270,257,,,,,,
270,257,,,,,,
270,257,,,,,,
270,257,,,,,,
270,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
271,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,257,,,,,,
272,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
273,258,,,,,,
274,258,,,,,,
274,258,,,,,,
274,258,,,,,,
274,258,,,,,,
274,258,,,,,,
274,258,,,,,,
274,258,,,,,,
275,258,,,,,,
275,258,,,,,,
275,258,,,,,,
275,258,,,,,,
275,258,,,,,,
275,258,,,,,,
276,258,,,,,,
276,258,,,,,,
276,258,,,,,,
276,258,,,,,,
276,258,,,,,,
276,258,,,,,,
276,258,,,,,,
277,258,,,,,,
277,258,,,,,,
277,258,,,,,,
277,258,,,,,,
277,258,,,,,,
278,258,,,,,,
278,258,,,,,,
278,258,,,,,,
278,259,,,,,,
278,259,,,,,,
278,259,,,,,,
279,259,,,,,,
279,259,,,,,,
279,259,,,,,,
279,259,,,,,,
279,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
280,259,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
281,260,,,,,,
282,260,,,,,,
282,260,,,,,,
282,260,,,,,,
282,260,,,,,,
282,260,,,,,,
282,260,,,,,,
283,260,,,,,,
